GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
skillsync-backend/auth-service,com.skillsync.auth.controller,AuthController,158,415,14,50,38,96,29,34,15,16
skillsync-backend/auth-service,com.skillsync.auth.dto,OAuthRequest,18,0,0,0,1,0,1,0,1,0
skillsync-backend/auth-service,com.skillsync.auth.dto,RefreshTokenRequest,0,6,0,0,0,1,0,1,0,1
skillsync-backend/auth-service,com.skillsync.auth.dto,UserSummary,0,18,0,0,0,1,0,1,0,1
skillsync-backend/auth-service,com.skillsync.auth.dto,RegisterRequest,0,15,0,0,0,1,0,1,0,1
skillsync-backend/auth-service,com.skillsync.auth.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
skillsync-backend/auth-service,com.skillsync.auth.dto,ForgotPasswordRequest,6,0,0,0,1,0,1,0,1,0
skillsync-backend/auth-service,com.skillsync.auth.dto,ResetPasswordRequest,12,0,0,0,1,0,1,0,1,0
skillsync-backend/auth-service,com.skillsync.auth.dto,AuthResponse,0,18,0,0,0,1,0,1,0,1
skillsync-backend/auth-service,com.skillsync.auth.dto,VerifyOtpRequest,0,9,0,0,0,1,0,1,0,1
skillsync-backend/auth-service,com.skillsync.auth.dto,SetupPasswordRequest,0,9,0,0,0,1,0,1,0,1
skillsync-backend/auth-service,com.skillsync.auth.dto,OAuthResponse,21,0,0,0,1,0,1,0,1,0
skillsync-backend/auth-service,com.skillsync.auth.dto,InitiateRegistrationRequest,6,0,0,0,1,0,1,0,1,0
skillsync-backend/auth-service,com.skillsync.auth.dto,VerifyPasswordResetOtpRequest,9,0,0,0,1,0,1,0,1,0
skillsync-backend/auth-service,com.skillsync.auth.dto,ResendOtpRequest,6,0,0,0,1,0,1,0,1,0
skillsync-backend/auth-service,com.skillsync.auth.dto,CompleteRegistrationRequest,15,0,0,0,1,0,1,0,1,0
skillsync-backend/auth-service,com.skillsync.auth.service,EmailService,290,0,26,0,75,0,19,0,6,0
skillsync-backend/auth-service,com.skillsync.auth.service,AuthService,828,242,47,5,176,59,52,8,27,7
skillsync-backend/auth-service,com.skillsync.auth.service,OtpService,35,260,8,16,4,62,11,12,3,8
skillsync-backend/config-server,com.skillsync.configserver,ConfigServerApplication,0,8,0,0,0,3,0,2,0,2
skillsync-backend/eureka-server,com.skillsync.eurekaserver,EurekaServerApplication,0,8,0,0,0,3,0,2,0,2
skillsync-backend/notification-service,com.skillsync.notification.mapper,NotificationMapper,0,18,0,0,0,4,0,1,0,1
skillsync-backend/notification-service,com.skillsync.notification.service.command,NotificationCommandService,0,127,0,0,0,29,0,8,0,8
skillsync-backend/notification-service,com.skillsync.notification.controller,NotificationController,25,31,0,0,5,7,3,4,3,4
skillsync-backend/notification-service,com.skillsync.notification.dto,UserSummary,0,18,0,0,0,1,0,1,0,1
skillsync-backend/notification-service,com.skillsync.notification.dto,NotificationResponse,0,24,0,0,0,1,0,1,0,1
skillsync-backend/notification-service,com.skillsync.notification.dto,EmailRetryEvent,0,21,0,0,0,1,0,1,0,1
skillsync-backend/notification-service,com.skillsync.notification.service.query,NotificationQueryService,0,45,0,2,0,9,0,6,0,5
skillsync-backend/notification-service,com.skillsync.notification.consumer,MentorEventConsumer,34,379,9,9,7,71,9,7,0,7
skillsync-backend/notification-service,com.skillsync.notification.consumer,PaymentEventConsumer,35,466,11,11,10,90,11,11,0,11
skillsync-backend/notification-service,com.skillsync.notification.consumer,EmailRetryConsumer,6,198,0,4,3,26,0,4,0,2
skillsync-backend/notification-service,com.skillsync.notification.consumer,ReviewEventConsumer,12,153,6,8,2,30,6,6,0,5
skillsync-backend/notification-service,com.skillsync.notification.consumer,SessionEventConsumer,71,828,1,31,13,158,1,29,0,14
skillsync-backend/notification-service,com.skillsync.notification,NotificationServiceApplication,5,3,0,0,2,1,1,1,1,1
skillsync-backend/notification-service,com.skillsync.notification.service,EmailService,52,227,1,9,6,50,1,11,0,7
skillsync-backend/notification-service,com.skillsync.notification.service,WebSocketService,0,26,0,0,0,8,0,2,0,2
skillsync-backend/notification-service,com.skillsync.notification.service,NotificationService,0,115,0,0,0,27,0,9,0,9
skillsync-backend/notification-service,com.skillsync.notification.config,WebSocketConfig,64,0,2,0,12,0,6,0,5,0
skillsync-backend/notification-service,com.skillsync.notification.config,RabbitMQConfig,234,0,0,0,39,0,36,0,36,0
skillsync-backend/notification-service,com.skillsync.notification.config,OpenApiConfig,50,0,0,0,14,0,2,0,2,0
skillsync-backend/notification-service,com.skillsync.notification.config,JpaAuditingConfig,3,0,0,0,1,0,1,0,1,0
skillsync-backend/notification-service,com.skillsync.notification.exception,GlobalExceptionHandler,107,7,0,0,25,2,5,2,5,2
skillsync-backend/notification-service,com.skillsync.notification.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
skillsync-backend/payment-service,com.skillsync.payment.controller,PaymentController,14,31,0,0,2,6,2,4,2,4
skillsync-backend/payment-service,com.skillsync.payment.controller,DlqReplayController,29,0,0,0,6,0,4,0,4,0
skillsync-backend/payment-service,com.skillsync.payment.service,PaymentSagaOrchestrator,1,321,1,5,0,73,1,10,0,8
skillsync-backend/payment-service,com.skillsync.payment.service,PaymentService.new TransactionSynchronization() {...},16,0,0,0,3,0,2,0,2,0
skillsync-backend/payment-service,com.skillsync.payment.service,OutboxEventService,0,79,0,0,0,19,0,2,0,2
skillsync-backend/payment-service,com.skillsync.payment.service,OutboxPublisher,56,257,7,7,13,59,7,8,2,6
skillsync-backend/payment-service,com.skillsync.payment.service,SagaRecoveryScheduler,40,274,4,8,6,73,4,8,0,6
skillsync-backend/payment-service,com.skillsync.payment.service,DlqReplayService,60,136,0,2,9,36,3,7,3,6
skillsync-backend/payment-service,com.skillsync.payment.service,PaymentService,65,548,6,26,12,127,9,20,3,10
skillsync-backend/payment-service,com.skillsync.payment.enums,PaymentType,0,9,0,0,0,2,0,1,0,1
skillsync-backend/payment-service,com.skillsync.payment.enums,ReferenceType,0,9,0,0,0,2,0,1,0,1
skillsync-backend/payment-service,com.skillsync.payment.enums,PaymentStatus,0,39,0,0,0,7,0,1,0,1
skillsync-backend/payment-service,com.skillsync.payment.exception,GlobalExceptionHandler,0,151,0,0,0,28,0,7,0,7
skillsync-backend/payment-service,com.skillsync.payment.exception,PaymentException,21,26,0,0,8,10,2,4,2,4
skillsync-backend/payment-service,com.skillsync.payment,PaymentServiceApplication,5,3,0,0,2,1,1,1,1,1
skillsync-backend/payment-service,com.skillsync.payment.consumer,DlqConsumer,0,156,0,14,0,39,0,16,0,9
skillsync-backend/payment-service,com.skillsync.payment.entity,OutboxEvent.OutboxStatus,0,27,0,0,0,5,0,1,0,1
skillsync-backend/payment-service,com.skillsync.payment.entity,SagaState,13,0,0,0,6,0,2,0,2,0
skillsync-backend/payment-service,com.skillsync.payment.entity,FailedEvent.ReplayStatus,0,21,0,0,0,4,0,1,0,1
skillsync-backend/payment-service,com.skillsync.payment.config,OpenApiConfig,50,0,0,0,13,0,2,0,2,0
skillsync-backend/payment-service,com.skillsync.payment.config,RabbitMQConfig,140,0,0,0,29,0,18,0,18,0
skillsync-backend/payment-service,com.skillsync.payment.config,JpaAuditingConfig,3,0,0,0,1,0,1,0,1,0
skillsync-backend/payment-service,com.skillsync.payment.config,RazorpayConfig,18,0,0,0,4,0,3,0,3,0
skillsync-backend/payment-service,com.skillsync.payment.dto,CreateOrderRequest,0,15,0,0,0,1,0,1,0,1
skillsync-backend/payment-service,com.skillsync.payment.dto,PaymentResponse,0,39,0,0,0,1,0,1,0,1
skillsync-backend/payment-service,com.skillsync.payment.dto,VerifyPaymentRequest,0,12,0,0,0,1,0,1,0,1
skillsync-backend/payment-service,com.skillsync.payment.dto,CreateOrderResponse,0,18,0,0,0,1,0,1,0,1
skillsync-backend/payment-service,com.skillsync.payment.mapper,PaymentMapper,0,37,0,2,0,13,0,2,0,1
skillsync-backend/session-service,com.skillsync.session.exception,GlobalExceptionHandler,84,30,0,0,19,8,4,3,4,3
skillsync-backend/session-service,com.skillsync.session.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
skillsync-backend/session-service,com.skillsync.session.event,PaymentCompletedEvent,36,0,0,0,1,0,1,0,1,0
skillsync-backend/session-service,com.skillsync.session.controller,ReviewController,0,42,0,0,0,8,0,6,0,6
skillsync-backend/session-service,com.skillsync.session.controller,SessionController,72,6,0,0,11,1,10,1,10,1
skillsync-backend/session-service,com.skillsync.session.service,ReviewService,0,288,0,14,0,46,0,17,0,10
skillsync-backend/session-service,com.skillsync.session.service,MentorMetricsService,0,119,0,6,0,26,0,5,0,2
skillsync-backend/session-service,com.skillsync.session,SessionServiceApplication,5,3,0,0,2,1,1,1,1,1
skillsync-backend/session-service,com.skillsync.session.dto,CreateSessionRequest,0,18,0,0,0,1,0,1,0,1
skillsync-backend/session-service,com.skillsync.session.dto,MentorMetricsResponse,0,21,0,0,0,1,0,1,0,1
skillsync-backend/session-service,com.skillsync.session.dto,SessionResponse,0,36,0,0,0,1,0,1,0,1
skillsync-backend/session-service,com.skillsync.session.dto,ReviewRequest,0,15,0,0,0,1,0,1,0,1
skillsync-backend/session-service,com.skillsync.session.dto,MentorRatingSummary,0,24,0,0,0,1,0,1,0,1
skillsync-backend/session-service,com.skillsync.session.dto,ReviewResponse,0,24,0,0,0,1,0,1,0,1
skillsync-backend/session-service,com.skillsync.session.dto,CreateReviewRequest,0,12,0,0,0,1,0,1,0,1
skillsync-backend/session-service,com.skillsync.session.service.command,SessionCommandService,30,585,4,46,3,144,6,40,2,19
skillsync-backend/session-service,com.skillsync.session.service.command,ReviewCommandService,26,318,6,26,8,72,5,20,0,9
skillsync-backend/session-service,com.skillsync.session.mapper,SessionMapper,0,27,0,0,0,6,0,1,0,1
skillsync-backend/session-service,com.skillsync.session.mapper,ReviewMapper,0,18,0,0,0,4,0,1,0,1
skillsync-backend/session-service,com.skillsync.session.service.query,SessionQueryService,0,117,1,9,0,26,1,15,0,11
skillsync-backend/session-service,com.skillsync.session.service.query,ReviewQueryService,5,72,0,2,1,15,1,8,1,7
skillsync-backend/session-service,com.skillsync.session.entity,Session,0,5,0,0,0,1,0,1,0,1
skillsync-backend/session-service,com.skillsync.session.config,JpaAuditingConfig,3,0,0,0,1,0,1,0,1,0
skillsync-backend/session-service,com.skillsync.session.config,OpenApiConfig,50,0,0,0,13,0,2,0,2,0
skillsync-backend/session-service,com.skillsync.session.config,RabbitMQConfig,145,0,0,0,23,0,23,0,23,0
skillsync-backend/session-service,com.skillsync.session.enums,SessionStatus,0,58,0,0,0,9,0,2,0,2
skillsync-backend/session-service,com.skillsync.session.consumer,PaymentEventConsumer,213,0,12,0,40,0,10,0,4,0
skillsync-backend/skill-service,com.skillsync.skill.config,JpaAuditingConfig,3,0,0,0,1,0,1,0,1,0
skillsync-backend/skill-service,com.skillsync.skill.config,RabbitMQConfig,40,0,0,0,7,0,7,0,7,0
skillsync-backend/skill-service,com.skillsync.skill.config,OpenApiConfig,33,0,0,0,8,0,2,0,2,0
skillsync-backend/skill-service,com.skillsync.skill.exception,GlobalExceptionHandler,0,114,0,0,0,27,0,7,0,7
skillsync-backend/skill-service,com.skillsync.skill.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
skillsync-backend/skill-service,com.skillsync.skill.service.command,SkillCommandService,0,199,0,2,0,40,0,8,0,7
skillsync-backend/skill-service,com.skillsync.skill.service,SkillService,0,150,0,2,0,21,0,12,0,11
skillsync-backend/skill-service,com.skillsync.skill.service.query,SkillQueryService,0,75,0,6,0,16,0,10,0,7
skillsync-backend/skill-service,com.skillsync.skill.event,SkillEvent,0,12,0,0,0,1,0,1,0,1
skillsync-backend/skill-service,com.skillsync.skill,SkillServiceApplication,5,3,0,0,2,1,1,1,1,1
skillsync-backend/skill-service,com.skillsync.skill.dto,SkillResponse,0,18,0,0,0,1,0,1,0,1
skillsync-backend/skill-service,com.skillsync.skill.dto,CreateSkillRequest,0,12,0,0,0,1,0,1,0,1
skillsync-backend/skill-service,com.skillsync.skill.mapper,SkillMapper,0,14,0,0,0,3,0,1,0,1
skillsync-backend/skill-service,com.skillsync.skill.controller,SkillController,0,46,0,0,0,8,0,7,0,7
skillsync-backend/skillsync-cache-common,com.skillsync.cache,RedisConfig,0,60,0,0,0,15,0,2,0,2
skillsync-backend/skillsync-cache-common,com.skillsync.cache,CacheService,56,298,4,14,14,74,4,17,0,12
skillsync-backend/user-service,com.skillsync.user.consumer,PaymentEventConsumer,5,127,1,11,1,26,1,9,0,4
skillsync-backend/user-service,com.skillsync.user.consumer,ReviewEventCacheSyncConsumer,23,82,3,5,5,17,3,4,0,3
skillsync-backend/user-service,com.skillsync.user.config,OpenApiConfig,50,0,0,0,13,0,2,0,2,0
skillsync-backend/user-service,com.skillsync.user.config,JpaAuditingConfig,3,0,0,0,1,0,1,0,1,0
skillsync-backend/user-service,com.skillsync.user.config,RabbitMQConfig,128,0,0,0,20,0,20,0,20,0
skillsync-backend/user-service,com.skillsync.user.entity,UserSkill.Proficiency,0,21,0,0,0,2,0,1,0,1
skillsync-backend/user-service,com.skillsync.user.entity,GroupMember.MemberRole,0,21,0,0,0,1,0,1,0,1
skillsync-backend/user-service,com.skillsync.user.controller,GroupController,11,143,0,0,1,23,1,16,1,16
skillsync-backend/user-service,com.skillsync.user.controller,MentorController,0,81,0,2,0,16,0,11,0,10
skillsync-backend/user-service,com.skillsync.user.controller,AdminController,7,169,0,4,2,44,0,11,0,9
skillsync-backend/user-service,com.skillsync.user.controller,UserController,16,19,0,0,4,3,2,3,2,3
skillsync-backend/user-service,com.skillsync.user.enums,MentorStatus,0,27,0,0,0,2,0,1,0,1
skillsync-backend/user-service,com.skillsync.user.exception,GlobalExceptionHandler,0,154,0,2,0,30,0,10,0,9
skillsync-backend/user-service,com.skillsync.user.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
skillsync-backend/user-service,com.skillsync.user.service.command,GroupCommandService,43,794,9,61,5,178,13,56,4,30
skillsync-backend/user-service,com.skillsync.user.service.command,UserCommandService,0,222,0,38,0,50,0,25,0,6
skillsync-backend/user-service,com.skillsync.user.service.command,MentorCommandService,23,687,0,28,2,158,4,31,4,17
skillsync-backend/user-service,com.skillsync.user.mapper,UserMapper,0,26,0,0,0,7,0,1,0,1
skillsync-backend/user-service,com.skillsync.user.mapper,MentorMapper,14,70,0,6,3,19,1,5,1,2
skillsync-backend/user-service,com.skillsync.user.mapper,GroupMapper,0,49,0,2,0,6,0,3,0,2
skillsync-backend/user-service,com.skillsync.user.dto,AdminStatsResponse,0,15,0,0,0,1,0,1,0,1
skillsync-backend/user-service,com.skillsync.user.dto,PostDiscussionRequest,0,12,0,0,0,1,0,1,0,1
skillsync-backend/user-service,com.skillsync.user.dto,GroupMemberResponse,0,21,0,0,0,1,0,1,0,1
skillsync-backend/user-service,com.skillsync.user.dto,ProfileResponse,0,39,0,0,0,1,0,1,0,1
skillsync-backend/user-service,com.skillsync.user.dto,DiscussionResponse,0,36,0,0,0,1,0,1,0,1
skillsync-backend/user-service,com.skillsync.user.dto,AddSkillRequest,0,9,0,0,0,1,0,1,0,1
skillsync-backend/user-service,com.skillsync.user.dto,GroupResponse,0,30,0,0,0,1,0,1,0,1
skillsync-backend/user-service,com.skillsync.user.dto,MentorProfileResponse,0,48,0,0,0,1,0,1,0,1
skillsync-backend/user-service,com.skillsync.user.dto,AvailabilitySlotResponse,0,18,0,0,0,1,0,1,0,1
skillsync-backend/user-service,com.skillsync.user.dto,CreateGroupRequest,0,15,0,0,0,1,0,1,0,1
skillsync-backend/user-service,com.skillsync.user.dto,UpdateProfileRequest,0,21,0,0,0,1,0,1,0,1
skillsync-backend/user-service,com.skillsync.user.dto,MentorApplicationRequest,0,15,0,0,0,1,0,1,0,1
skillsync-backend/user-service,com.skillsync.user.dto,AddGroupMemberRequest,0,6,0,0,0,1,0,1,0,1
skillsync-backend/user-service,com.skillsync.user.dto,SkillSummary,0,12,0,0,0,1,0,1,0,1
skillsync-backend/user-service,com.skillsync.user.dto,AvailabilitySlotRequest,0,12,0,0,0,1,0,1,0,1
skillsync-backend/user-service,com.skillsync.user.dto,UpdateGroupRequest,0,15,0,0,0,1,0,1,0,1
skillsync-backend/user-service,com.skillsync.user,UserServiceApplication,5,3,0,0,2,1,1,1,1,1
skillsync-backend/user-service,com.skillsync.user.service.query,GroupQueryService,11,302,6,16,2,66,6,21,0,16
skillsync-backend/user-service,com.skillsync.user.service.query,MentorQueryService,59,403,5,27,4,93,10,26,6,14
skillsync-backend/user-service,com.skillsync.user.service.query,UserQueryService,7,126,1,5,1,25,2,8,1,6
